Timestamp,Pressure [torr]
2017-08-04 18:45:11.365146,7.572E+2
2017-08-04 18:45:12.366545,7.566E+2
2017-08-04 18:45:13.368683,7.569E+2
2017-08-04 18:45:14.371962,7.566E+2
2017-08-04 18:45:15.373529,7.568E+2
2017-08-04 18:45:16.374504,7.570E+2
2017-08-04 18:45:17.376646,7.567E+2
2017-08-04 18:45:18.378482,7.574E+2
2017-08-04 18:45:19.379558,7.563E+2
2017-08-04 18:45:20.380052,7.574E+2
2017-08-04 18:45:21.383045,7.564E+2
2017-08-04 18:45:22.384278,7.569E+2
2017-08-04 18:45:23.387091,7.565E+2
2017-08-04 18:45:24.389158,7.573E+2
2017-08-04 18:45:25.393127,7.566E+2
